Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дацюк,Ігор,Леонтійович,Чоловіча,1987-07-26,Стоматолог,місто Берегове,"проспект Капітана Гаврікова, буд. 815 кв. 089, Вовчанськ, 61920",+380 47 588-14-74,qaleksiuk@example.net
Дурдинець,Валентин,Мирославович,Чоловіча,1968-03-10,Лікар,селище Зеленодольськ,"провулок Тетяни Тесс, буд. 64, Берислав, 41317",+380 22 670-59-04,oleh39@example.org
Данильчук,Тереза,Вікторівна,Жіноча,1973-05-22,Патологоанатом,село Заліщики,"узвіз Олександра Блока, буд. 9 кв. 848, Вижниця, 30007",+380 22 949-10-24,violetta26@example.net
Юхименко,Єлисавета,Іванівна,Жіноча,1967-04-27,Кіноактор,село Судова Вишня,"провулок Сливовий, буд. 28 кв. 825, Ялта, 13486",+380 28 332 90 95,anita43@example.com
Михайличенко,Леонтій,Вадимович,Чоловіча,1959-03-15,Співак,хутір Бучач,"площа Аеропортівський 6-й, буд. 20 кв. 69, Токмак, 60478",+380 22 077 52 19,kamilla19@example.org
Жадан,Антон,Лукʼянович,Чоловіча,1978-11-18,Кухар,село Звенигородка,"проспект Балтиморська, буд. 086 кв. 6, Джанкой, 04500",418 39 25,mtereshchenko@example.com
Онищенко,Ярослав,Мартинович,Чоловіча,1974-02-22,Кур'єр,місто Дубно,"сквер Пастера, буд. 829 кв. 255, Белз, 39771",+380 82 978-52-16,onysymperebyinis@example.net
Гаврилець,Августин,Богданович,Чоловіча,1953-01-09,Флорист,селище Голубівка,"шосе Баркасний, буд. 68 кв. 97, Сновськ, 03833",029 980 26 00,anzhela68@example.net
Затовканюк,Владислав,Богуславович,Чоловіча,1955-09-01,Антрополог,село Хорол,"набережна Кришталевий, буд. 3, Брянка, 61403",553-08-53,sbabiuk@example.org
Бандура,Марта,Микитівна,Жіноча,1967-02-17,Музикознавець,селище Чернігів,"узвіз Кастуся Калиновського, буд. 1 кв. 617, Шахтарське, 24897",079 814-63-37,piddubnyiborys@example.org
Оліфіренко,Валентин,Ростиславович,Чоловіча,1970-03-07,Хімік,місто Корсунь-Шевченківський,"парк Штабний, буд. 234, Бахмач, 55672",020 800-13-18,mykytakozachenko@example.com
Бабійчук,Вадим,Вадимович,Чоловіча,2001-07-08,Машиніст,селище Буча,"узвіз Сьома, буд. 59, Перевальськ, 30521",+380 04 950-14-08,spas22@example.com
Дахно,Михайлина,Євгенівна,Жіноча,1959-02-07,Астроном,хутір Берестечко,"шосе Тролейбусна, буд. 42, Щастя, 17314",031 236-55-81,arkadiibezditko@example.org
Шахрай,Єлисавета,Віталіївна,Жіноча,1967-04-02,Художник,хутір Полонне,"сквер Поліська, буд. 0, Нове Давидково, 22812",026-44-11,avhustynmazepa@example.com
Годунок,Єлисавета,Аркадіївна,Жіноча,1987-06-26,Агроном,селище Зміїв,"парк Тіниста, буд. 8, Обухів, 10875",034 905-94-02,hhuz@example.com
Габелко,Еріка,Йосипівна,Жіноча,1986-06-21,Співак,село Коростишів,"проспект Топольського, буд. 9, Немирів, 83905",412-33-34,landrusenko@example.org
Рябченко,Франц,Веніяминович,Чоловіча,1990-08-19,Археолог,селище Сорокине,"проспект Добровольців, буд. 2 кв. 40, Снятин, 03737",338-22-89,itovstukha@example.net
Штепа,Пріска,Азарівна,Жіноча,1972-01-05,Фармацевт,селище Світловодськ,"парк Рівності, буд. 54 кв. 0, Овруч, 71529",298-60-87,uparasiuk@example.net
Джус,Данна,Семенівна,Жіноча,1961-03-28,Режисер,хутір Нікополь,"набережна Віталія Гуляєва, буд. 66 кв. 915, Соснівка, 71294",094 793-32-95,tykhyiada@example.org
Павленко,Августин,Юстимович,Чоловіча,1969-02-26,Кінолог,селище Бердянськ,"парк Джерельна, буд. 83, Деражня, 52052",+380 39 231-91-62,leontiihaidabura@example.com
Бабійчук,Стефан,Миколайович,Чоловіча,1957-01-15,Кінокритик,село Ладижин,"площа Разумовська, буд. 15, Боярка, 22090",056 749-77-87,baranetsvioletta@example.org
Бабʼяк,Володимира,Тимофіївна,Жіноча,1963-02-15,Мінералог,селище Тернівка,"сквер Наявний 2-й, буд. 071, Алчевськ, 95311",050 376 85 50,sofiia90@example.org
Калениченко,Орхип,Симонович,Чоловіча,1940-03-22,Диригент,хутір Прип'ять,"провулок Ювілейний 1-й, буд. 4 кв. 0, Борщів, 26179",054 018 03 20,bevzenkooksana@example.net
Баштан,Омелян,Венедиктович,Чоловіча,1962-02-12,Мінералог,місто Батурин,"сквер Артура Савельєва, буд. 60, Охтирка, 59202",+380 (57) 699-88-60,ievtushenkookhrim@example.net
Закусило,Надія,Богодарівна,Жіноча,1957-06-21,Підприємець,хутір Глиняни,"проспект 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 17 кв. 350, Полонне, 33765",+380 16 788 76 37,avhustyn26@example.net
Влох,Альберт,Данилович,Чоловіча,1947-02-28,Секретар,селище Татарбунари,"шосе Тіниста, буд. 490, Іловайськ, 84846",046 586 68 15,xhrechanyk@example.org
Бевзенко,Еріка,Охрімівна,Жіноча,1949-03-15,Кухар,село Городище,"сквер Привозна, буд. 620, Гайворон, 22980",+380 09 199 91 89,mykyta04@example.net
Базавлученко,Тарас,Гаврилович,Чоловіча,1980-04-27,Програміст,місто Зіньків,"парк Ялинкова, буд. 1 кв. 19, Жовті Води, 30251",045 705 18 56,valeriizhadan@example.net
Гавриленко,Ярема,Єлисейович,Чоловіча,1942-05-05,Льотчик,селище Макіївка,"вулиця Сирітський, буд. 967 кв. 966, Кремінна, 30188",080 982 25 09,viaremenko@example.net
Царенко,Опанас,Юстимович,Чоловіча,1953-04-06,Літературознавець,селище Чигирин,"узвіз Наявний 6-й, буд. 2, Бердичів, 97909",+380 45 598-73-49,dereviankomykyta@example.com
Байда,Любов,Сергіївна,Жіноча,1968-06-02,Кінорежисер,хутір Збараж,"сквер Молоді, буд. 95, Яготин, 92090",069 568 18 08,lemeshkoillia@example.org
Лаба,Христина,Ростиславівна,Жіноча,1942-09-21,Мовознавець,село Оріхів,"узвіз Грецька, буд. 2 кв. 1, Верхньодніпровськ, 05216",+380 32 214 91 79,diesypenko@example.org
Ярема,Давид,Федорович,Чоловіча,1939-04-13,Співак,село Міусинськ,"парк Елеваторна, буд. 5 кв. 9, Петрово-Красносілля, 15233",+380 95 953-49-64,izhakleon@example.org
Сагаль,Ігор,Микитович,Чоловіча,1944-07-18,Гірничий інженер,місто Снятин,"площа Жоліо-Кюрі, буд. 7, Решетилівка, 49793",079 638 48 60,tereshchukedyta@example.net
Ільченко,Маруся,Станіславівна,Жіноча,1967-01-04,Мінералог,селище Балаклія,"набережна Різницький, буд. 51 кв. 1, Євпаторія, 81839",+380 76 595 52 26,ihnat41@example.com
Шеремета,Богуслав,Пантелеймонович,Чоловіча,1991-03-09,Машиніст,селище Миколаївка,"набережна Купріна, буд. 213 кв. 243, Білозерське, 68840",674 59 98,vivcharenkoedyta@example.org
Данько,Ярослава,Микитівна,Жіноча,1945-06-03,Реабілітолог,хутір Павлоград,"вулиця Берестейська, буд. 03, Свалява, 05791",007 169 77 13,kovalenkoiryna@example.org
Ільченко,Венедикт,Зиновійович,Чоловіча,1976-07-16,Випробувач,селище Рава-Руська,"проспект Небесної Сотні, буд. 464 кв. 54, Каховка, 38580",007 302-31-74,herman92@example.com
Кальченко,Василина,Остапівна,Жіноча,1956-09-05,Електротехнік,місто Каховка,"площа Олександра Ройтбурда, буд. 1, Мала Виска, 65370",088 131 63 70,feofankhorishko@example.com
Франко,Устим,Ростиславович,Чоловіча,1986-07-04,Астроном,село Шептицький,"парк Політкаторжан, буд. 44, Бровари, 11693",+380 80 767 61 94,hordii18@example.net
Теличенко,Юстим,Адамович,Чоловіча,1940-03-05,Єгер,місто Корець,"шосе Українських Героїв, буд. 680, Алмазна, 54900",+380 66 675 41 79,lteslenko@example.net
Скоробогатько,Орися,Юстимівна,Жіноча,1948-08-05,Каскадер,хутір Ужгород,"вулиця Квіткова, буд. 91 кв. 589, Торецьк, 28839",+380 10 865-18-57,darynaasaula@example.org
Орлик,Леонід,Богуславович,Чоловіча,1987-05-01,Медик,місто Вознесенівка,"набережна Саксаганського, буд. 200 кв. 457, Соледар, 61149",495 55 84,hordii07@example.com
Шовкопляс,Геннадій,Степанович,Чоловіча,2007-09-03,Будник,селище Ржищів,"провулок Студентський, буд. 315, Златопіль, 49102",813 31 42,bzhadan@example.com
Панчук,Павло,Богданович,Чоловіча,1990-11-02,Дизайнер,місто Кіцмань,"площа Будівельний, буд. 9 кв. 5, Заводське, 73451",025 609-51-69,ashtokalo@example.org
Швачко,Борис,Вадимович,Чоловіча,1984-08-01,Сантехнік,село Коростень,"площа Шилова, буд. 512 кв. 46, Гайсин, 67265",+380 (09) 756-93-43,gkonoplia@example.org
Запорожець,Альберт,Демидович,Чоловіча,1985-09-12,Клавішник,селище Волноваха,"парк 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 6, Біляївка, 68530",089 409 74 15,xsimashkevych@example.org
Рудик,Наталія,Демʼянівна,Жіноча,1940-03-21,Педагог,хутір Ананьїв,"проспект Перлинна, буд. 42, Соледар, 47992",+380 87 353-96-85,azar13@example.org
Андрощук,Алла,Орестівна,Жіноча,1970-01-16,Кінолог,хутір Чернівці,"парк Нафтовиків 1-й, буд. 55 кв. 506, Комарно, 43389",001 499-75-43,oleh83@example.net
Москаль,Аліна,Васильівна,Жіноча,1959-09-18,Кінолог,село Святогірськ,"шосе Радіальна, буд. 958, Зугрес, 43618",026 939-09-85,ruslan69@example.com
Байрак,Христина,Миколаївна,Жіноча,1983-04-30,Промисловець,селище Помічна,"шосе Йоганна Ансельма, буд. 36 кв. 45, Тальне, 15823",+380 21 792-16-66,ustenkoomelian@example.org
Товстоліс,Борис,Хомович,Чоловіча,1962-03-09,Професор,селище Полтава,"сквер Шахтинський, буд. 792, Рогатин, 89104",473 08 99,marko17@example.com
Удовенко,Андрій,Орхипович,Чоловіча,1954-11-17,Агроном,селище Білгород-Дністровський,"шосе Рибальська, буд. 8 кв. 69, Амвросіївка, 07793",+380 (74) 761-77-72,oberemkoleopold@example.com
Орлик,Онисим,Петрович,Чоловіча,1996-01-05,Петрограф,місто Авдіївка,"проспект Нечипуренка, буд. 355, Чорнобиль, 17359",+380 (25) 480-58-47,rubantrokhym@example.net
Архипенко,Азар,Охрімович,Чоловіча,1991-10-31,Електрослюсар,селище Щолкіне,"набережна Сирітський 2-й, буд. 033, Маріуполь, 90098",005 862 54 26,hrechanykolha@example.net
Литвиненко,Ярина,Бориславівна,Жіноча,1951-10-06,Сантехнік,село Гола Пристань,"вулиця Олександра Білостінного, буд. 5 кв. 986, Кам'янка (Черкаська область), 92623",+380 16 248-37-09,irenatsymbaliuk@example.com
Карпа,Марʼяна,Аврелійовна,Жіноча,1978-10-08,Реабілітолог,село Полтава,"узвіз Калинова, буд. 4, Винники, 51563",837 21 69,larysadrozdenko@example.com
Малик,Лілія,Венедиктівна,Жіноча,1947-02-26,Інженер,хутір Горлівка,"провулок Віталія Блажка, буд. 47 кв. 546, Торецьк, 62662",+380 30 431-54-61,upoltavets@example.org
Ґерета,Онисим,Остапович,Чоловіча,1963-08-19,Біолог,місто Чернігів,"провулок Джинестрівська, буд. 1, Василівка, 55409",064 062-36-69,zakhar83@example.com
Смик,Станіслав,Вадимович,Чоловіча,1967-05-23,Маркетолог,місто Амвросіївка,"площа Вишневий, буд. 08, Рахів, 41309",746-09-94,nizhak@example.com
Романенко,Євген,Зорянович,Чоловіча,2005-01-30,М'ясник,селище Бровари,"площа Суднобудівний, буд. 53 кв. 7, Монастирище, 85623",+380 (31) 908-06-71,solomiiazhuk@example.org
Артимович,Петро,Яковович,Чоловіча,1956-05-18,Євнух,селище Ланівці,"набережна Балтський 5-й, буд. 475 кв. 5, Виноградів, 56501",+380 (56) 325-11-14,hrechkohennadii@example.org
Засядько,Клавдія,Тарасівна,Жіноча,1987-08-13,Фермер,місто Моспине,"проспект Балтський 7-й, буд. 6, Лубни, 62388",090 652 08 75,oleksandr59@example.com
Гузенко,Захар,Давидович,Чоловіча,1970-09-16,Фотограф,селище Липовець,"парк Зелена, буд. 20 кв. 035, Рожище, 82697",007 892 06 43,viktoriia15@example.org
Базилевич,Дан,Андрійович,Чоловіча,1966-07-24,Мовознавець,селище Апостолове,"вулиця Гвоздичний, буд. 47 кв. 6, Заводське, 03495",+380 46 838 19 59,telychenkospas@example.org
Дутка,Данило,Варфоломійович,Чоловіча,1973-04-03,Ґрунтознавець,селище Біла Церква,"проспект Госпітальєрів, буд. 04, Долина, 50099",024 837 64 10,svitlana21@example.net
Макаренко,Антон,Вадимович,Чоловіча,1988-04-11,Археолог,селище Жданівка,"набережна Бахчисарайська, буд. 8 кв. 3, Вишгород, 41714",262-31-71,gvyshyvanyi@example.org
Чумак,Єлисей,Мирославович,Чоловіча,1969-08-07,Журналіст,селище Костянтинівка,"вулиця Болгарська, буд. 9, Сокологірськ, 08629",+380 (41) 312-07-41,rubetsiaroslava@example.org
Заруба,Василь,Васильович,Чоловіча,1942-11-23,Дантист,село Пирятин,"узвіз Рибальська, буд. 1, Отаманівка, 34944",152 58 53,datsiukklyment@example.org
Теличенко,Ярослава,Альбертівна,Жіноча,1984-01-14,Реабілітолог,хутір Хирів,"вулиця Фестивальний, буд. 46, Рені, 07344",+380 73 901 83 38,klyment58@example.org
Андрійчук,Сніжана,Демʼянівна,Жіноча,1961-03-27,Парфюмер,село Яворів,"провулок Андрія Гулого-Гуленка, буд. 945, Гайсин, 02283",+380 (75) 644-92-76,iustynamalyk@example.com
Колесниченко,Світлана,Пантелеймонівна,Жіноча,1983-07-28,Астроном,село Андрушівка,"сквер Весняна, буд. 8 кв. 339, Мелітополь, 97266",+380 37 629-04-72,makarsymonenko@example.net
Яременко,Гордій,Яковович,Чоловіча,1968-07-26,Краєзнавець,селище Знам'янка,"проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 51, Рава-Руська, 43293",085 537 67 69,ivitruk@example.org
Рудик,Аркадій,Мирославович,Чоловіча,1961-10-21,Кінорежисер,село Козятин,"площа Грецька, буд. 0 кв. 2, Теплодар, 30572",013 309 59 96,yfartushniak@example.com
Забіла,Василина,Вʼячеславівна,Жіноча,1949-07-28,Ювелір,село Ананьїв,"сквер Юннатів, буд. 9, Берестечко, 16264",862-19-17,olha31@example.org
Ляшко,Богодар,Гаврилович,Чоловіча,1966-10-01,Клоун,село Радомишль,"площа Котляревського, буд. 85, Кам'янка-Дніпровська, 28727",026 134 27 63,chuprynaivan@example.org
Єщенко,Ростислав,Мартинович,Чоловіча,1983-03-08,Промисловець,хутір Миргород,"шосе Шевченка, буд. 762, Рівне, 58655",+380 16 944-11-15,fderevianko@example.com
Засуха,Богуслав,Стефанович,Чоловіча,1974-01-09,Філолог,хутір Сіверськ,"парк Військово-морських сил, буд. 66 кв. 5, Калинівка, 99482",+380 86 818-56-84,antonzabila@example.org
Бабариченко,Костянтин,Кирилович,Чоловіча,1958-03-15,Дерун,хутір Березань,"площа Мусіна, буд. 32, Узин, 24973",199-30-81,onysymzhuchenko@example.net
Єрченко,Петро,Аркадійович,Чоловіча,1962-01-17,Штукатур,селище Олешки,"парк Пересипська 5-та, буд. 408 кв. 22, Довжанськ, 53890",+380 89 266 41 74,orkhypdzhun@example.com
Корпанюк,Миколай,Венедиктович,Чоловіча,1966-02-20,Флорист,хутір Рогатин,"провулок Кривобалківська, буд. 7, Кобеляки, 98068",003 991-64-19,illia03@example.org
Ґоляш,Валентин,Назарович,Чоловіча,1975-08-23,Історик,село Мар'їнка,"шосе Кам’янецький, буд. 83 кв. 408, Часів Яр, 95679",442 80 29,valeriihavrysh@example.org
Охріменко,Степан,Григорійович,Чоловіча,1985-04-03,Громадський діяч,селище Верхньодніпровськ,"площа Вознесенський, буд. 1, Ясинувата, 96567",018 035 22 70,teodorkorsun@example.net
Кармалюк,Устим,Болеславович,Чоловіча,1991-06-06,Кінорежисер,село Христинівка,"набережна Чернівецький, буд. 355, Алчевськ, 76338",041-63-71,maksymmykhailiuk@example.com
Кибкало,Віолетта,Миколаївна,Жіноча,1957-10-07,Різноробочий,селище Енергодар,"сквер Баркасний, буд. 1 кв. 21, Сарни, 90524",+380 78 249 22 18,liza02@example.org
Оніщук,Богодар,Васильович,Чоловіча,1989-03-20,Адвокат,місто Тульчин,"проспект Діхтієвського Віктора, буд. 60 кв. 72, Ходорів, 70629",+380 12 581-78-30,marianaokhrimenko@example.org
Ванченко,Юстим,Володимирович,Чоловіча,1990-08-02,Паралегал,селище Городок,"провулок Решата Аметова, буд. 51 кв. 76, Корюківка, 51998",027 197 68 43,khrystenkoheorhii@example.net
Їжакевич,Кирило,Аврелійович,Чоловіча,1941-05-02,Кур'єр,хутір Миргород,"площа Волинський, буд. 91, Зоринськ, 04377",040 15 75,xisaienko@example.net
Гайденко,Пармен,Федорович,Чоловіча,1983-07-12,Палеонтолог,село Кривий Ріг,"узвіз Хаджибейський 3-й, буд. 534 кв. 2, Таврійськ, 71317",+380 (13) 900-82-81,iustyna55@example.org
Хоменко,Антон,Трохимович,Чоловіча,1956-05-21,Ді-джей,хутір Золочів,"провулок Маячний, буд. 748, Сіверськ, 53504",+380 (85) 116-59-72,spasverhun@example.com
Артимович,Дан,Несторович,Чоловіча,1991-08-03,Юрист,місто Токмак,"шосе Новиков міст, буд. 290 кв. 433, Борщів, 34319",032 848-38-99,iosyp46@example.com
Рева,Єлисавета,Ааронівна,Жіноча,1992-01-28,Гицель,місто Костянтинівка,"сквер Лінія 48-ма, буд. 998, Збараж, 57061",+380 37 558-06-06,bazavluchenkostanislav@example.com
Гаврилів,Євген,Борисович,Чоловіча,1979-09-24,Паралегал,місто Теплодар,"вулиця 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 26 кв. 6, Білогірськ, 60678",+380 41 821 02 73,mykhailiukvenedykt@example.com
Василевич,Борис,Федорович,Чоловіча,2008-06-24,Мінералог,місто Вознесенівка,"проспект Улицька, буд. 11, Зборів, 27369",900-57-90,zabarales@example.com
Петренко,Оксана,Максимівна,Жіноча,1980-05-09,Адвокат,місто Мар'їнка,"площа Кредитний, буд. 353 кв. 25, Пирятин, 68759",005 116-67-99,iukhymzaika@example.org
Юхименко,Ірена,Трохимівна,Жіноча,1992-02-21,Бібліограф,село Ніжин,"узвіз Соляний 7-й, буд. 694, Часів Яр, 65813",+380 (00) 080-88-67,iefrem41@example.org
Килимник,Пилип,Ростиславович,Чоловіча,1964-10-13,Бухгалтер,селище Армянськ,"шосе Вітчизняна, буд. 45 кв. 00, Харків, 14053",899 56 96,parmenzhalilo@example.org
Радченко,Демид,Микитович,Чоловіча,1940-10-13,Лікар,місто Ізмаїл,"шосе Волинський, буд. 96, Жидачів, 82263",065 049-91-15,oles75@example.org
Козаченко,Григорій,Данилович,Чоловіча,1986-03-18,Актор,місто Соснівка,"проспект Зелена гірка, буд. 22 кв. 380, Здолбунів, 34165",598-34-94,taras93@example.net
Штокало,Михайлина,Францівна,Жіноча,1962-11-12,Бізнесмен,місто Голубівка,"узвіз Лінія 45-та, буд. 42, Бориспіль, 32998",+380 (69) 141-55-82,andrii23@example.com
Мірошниченко,Богуслава,Миколаївна,Жіноча,1984-04-28,Льотчик,хутір Чернівці,"парк Басейна, буд. 488 кв. 0, Обухів, 65319",052 153 30 72,fradchenko@example.com
Єрченко,Венедикт,Петрович,Чоловіча,1955-06-09,Лікар,місто Красилів,"вулиця Басейний 3-й, буд. 70, Кременчук, 34362",002 700 47 45,yriabchenko@example.net
Деркач,Левко,Болеславович,Чоловіча,1956-02-01,Ґрунтознавець,хутір Таврійськ,"узвіз 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 282, Вараш, 85289",+380 43 176-91-86,fedirivanenko@example.com
Ґжицький,Пилип,Ігорович,Чоловіча,1999-01-26,Етнограф,селище Любомль,"узвіз Артура Савельєва, буд. 935 кв. 32, Гірник, 76131",091 979-82-48,liliia30@example.org
Редько,Ада,Симонівна,Жіноча,1976-06-02,Фотограф,хутір Радомишль,"набережна Литовська, буд. 5 кв. 465, Берестин, 93225",075 067-51-52,viktoriiaskorobohatko@example.org
Ващенко-Захарченко,Руслан,Станіславович,Чоловіча,1956-06-23,Ґрунтознавець,селище Голубівка,"проспект Весела, буд. 610 кв. 556, Вознесенськ, 49947",+380 (23) 412-06-16,stefan78@example.net
Шовкопляс,Сніжана,Петрівна,Жіноча,1992-11-28,Редактор,хутір Краматорськ,"шосе Крушельницької, буд. 025, Кальміуське, 92496",257-48-46,hodunoklukian@example.net
Євтушок,Юстим,Єфремович,Чоловіча,1994-09-10,Фармацевт,селище Любомль,"сквер Калинова, буд. 950, Сокологірськ, 84065",051 436 43 85,bohdanna67@example.com
Гайдамака,Гордій,Антонович,Чоловіча,1974-03-01,Краєзнавець,село Ірміно,"проспект Лінія 36-та, буд. 590, Армянськ, 29633",+380 (90) 589-52-23,amvrosii02@example.com
Верховинець,Олег,Прохорович,Чоловіча,1989-11-29,Мірошник,місто Новоукраїнка,"вулиця Віри Інбер, буд. 4, Умань, 88663",018 392-15-98,cherinkoedyta@example.net
Дробʼязко,Ірена,Демидівна,Жіноча,1951-11-26,Кіноактор,хутір Кременчук,"узвіз Фруктова, буд. 35, Хрестівка, 64926",023 118-88-83,avhustyn35@example.org
Аронець,Віолетта,Юхимівна,Жіноча,1946-09-08,Піаніст,село Шостка,"сквер Халайджогло, буд. 600 кв. 85, Івано-Франківськ, 89900",051 551 74 15,hohol-ianovskaiaryna@example.org
Єрошенко,Дмитро,Тимофійович,Чоловіча,1954-11-22,Економіст,місто Генічеськ,"узвіз Ковиловий, буд. 79 кв. 471, Хмельницький, 18134",+380 (25) 619-97-27,oiefymenko@example.com
Бабій,Олекса,Борисович,Чоловіча,1956-12-10,Історик,селище Новоселиця,"узвіз Свободи, буд. 327, Жашків, 30222",092 324 47 86,skhrystenko@example.com
Скиба,Данна,Гордіївна,Жіноча,2005-06-02,Водій,село Черкаси,"сквер Партизанська, буд. 886, Сквира, 32522",+380 76 722 24 79,iurchyshynstanislav@example.org
Вахній,Ярослава,Григоріївна,Жіноча,1984-02-21,Бібліограф,село Зимогір'я,"шосе Солонцюватий 1-й, буд. 4 кв. 75, Нововолинськ, 61635",010-33-32,vladyslav59@example.org
Ткач,Сніжана,Ростиславівна,Жіноча,1950-03-06,Льотчик,місто Острог,"набережна Мирослава Скорика, буд. 0, Мелітополь, 80267",+380 (37) 154-44-80,satsiukopanas@example.com
Піддубний,Владислав,Олесьович,Чоловіча,1991-12-17,Фермер,селище Рені,"парк Шевальових, буд. 576, Карлівка, 75183",583-92-90,edyta28@example.org
Усик,Орина,Азарівна,Жіноча,1992-06-27,Намотувальник,село Черкаси,"узвіз Французький, буд. 31 кв. 3, Канів, 24362",933 12 34,vasylynabairak@example.org
Титаренко,Одарка,Стефанівна,Жіноча,1959-02-23,Журналіст,місто Болград,"парк Любашівський, буд. 79 кв. 0, Алмазна, 90614",+380 (51) 802-67-26,jromanchuk@example.org
Данильчук,Феофан,Станіславович,Чоловіча,1979-09-11,Інженер,хутір Новомиргород,"площа Складська, буд. 5 кв. 443, Знам'янка, 09099",+380 (48) 561-64-48,abramchukleopold@example.com
Лаба,Ігор,Орхипович,Чоловіча,1994-08-31,Парфюмер,село Роздільна,"сквер Латвійський узвіз, буд. 891 кв. 3, Святогірськ, 20021",+380 (14) 950-09-83,wbaidak@example.org
Бабенко,Зорян,Соломонович,Чоловіча,1959-08-06,Громадський діяч,хутір Берестечко,"вулиця Краснослобідський, буд. 337 кв. 26, Житомир, 32978",+380 16 026 02 70,azarlazarenko@example.org
Шутько,Феофан,Трохимович,Чоловіча,1987-08-14,Стропальник,селище Конотоп,"набережна Родоканакі, буд. 8 кв. 45, Святогірськ, 47736",+380 94 409-38-14,maksymsomko@example.com
Іваненко,Ярина,Мартинівна,Жіноча,1982-02-01,Зоолог,селище Берестечко,"узвіз Садова 5-та, буд. 40 кв. 4, Гірник, 10609",+380 22 807-88-07,tovstukhazlatoslava@example.org
Вергун,Гордій,Опанасович,Чоловіча,1979-10-19,Підприємець,місто Виноградів,"проспект Леонтовича, буд. 376, Прилуки, 41248",+380 61 444-16-26,bkabaliuk@example.org
Прокопович,Алевтин,Святославович,Чоловіча,1998-05-20,Ріелтор,хутір Калинівка,"набережна Вапняне селище, буд. 589, Валки, 72431",859 40 59,malykerika@example.net
Орлик,Анастасія,Арсенівна,Жіноча,1997-11-05,Слідчий,хутір Слов'янськ,"площа Щоглова, буд. 27, Новоазовськ, 88790",+380 71 554-68-72,edyta44@example.org
Прокопович,Дарина,Остапівна,Жіноча,1951-04-12,Письменник,хутір Золотоноша,"вулиця Сухолиманна, буд. 617, Очаків, 77780",844 50 04,rozaliiaatamanchuk@example.com
Микитюк,Панас,Вадимович,Чоловіча,1943-08-29,Секретар,місто Подільськ,"проспект Східний 1-й, буд. 880 кв. 6, Сіверськодонецьк, 57064",+380 29 348 08 01,nazarenkoarsen@example.com
Петренко,Дан,Опанасович,Чоловіча,1975-08-08,Музичний редактор,селище Скадовськ,"набережна Флейтовий, буд. 1, Вишневе, 53103",+380 47 684-83-90,shchyrytsiasolomiia@example.net
Захаренко,Олег,Симонович,Чоловіча,1951-03-13,Архітектор,село Київ,"проспект Віри Холодної, буд. 7 кв. 8, Соледар, 21356",240-75-20,pprykhodko@example.org
Андріїшин,Амвросій,Пантелеймонович,Чоловіча,1964-04-14,Нотаріус,село Ладижин,"вулиця Привокзальний, буд. 667 кв. 90, Хирів, 50628",+380 12 981-21-66,olehsheremeta@example.org
Теліженко,Єва,Вікторівна,Жіноча,1990-08-11,Вчитель,село Щолкіне,"набережна Десантний, буд. 8 кв. 9, Сімферополь, 44963",657-38-44,viraishchak@example.com
Дерегус,Гаврило,Федорович,Чоловіча,1981-07-17,Програміст,селище Черкаси,"вулиця Гоголя, буд. 9 кв. 530, Оріхів, 28344",062 050-69-47,deinekazynovii@example.com
Харченко,Аліна,Давидівна,Жіноча,1979-10-28,Візажист,село Калинівка,"набережна Манежна, буд. 8 кв. 21, Боярка, 17964",018 726-36-25,orysiavermenych@example.net
Венгринович,Назар,Гордійович,Чоловіча,1989-05-08,Паралегал,місто Звенигородка,"проспект Стельмаха, буд. 31, Вовчанськ, 30663",+380 20 586-48-50,svovk@example.net
Медведенко,Гліб,Дмитрович,Чоловіча,1959-04-15,Фольклорист,село Святогірськ,"узвіз Венгера, буд. 0, Новоукраїнка, 57403",+380 40 274-32-48,zabashtataras@example.net
Симоненко,Геннадій,Глібович,Чоловіча,1991-08-06,Зоолог,село Горішні Плавні,"парк Ольги Благовидової, буд. 354, Берегове, 87063",846-55-83,volodymyrlukash@example.net
Данченко,Назар,Зиновійович,Чоловіча,2005-12-08,Продюсер,село Армянськ,"площа Родоканакі, буд. 3, Городня, 55067",+380 49 455-94-27,bartiukh@example.org
Масляк,Володимира,Леонідівна,Жіноча,1986-07-23,Етнограф,село Золочів,"провулок Стрийський, буд. 357 кв. 7, Коростишів, 20339",061 327 34 27,iefymenkoemiliia@example.org
Христенко,Трохим,Веніяминович,Чоловіча,1980-12-23,Стропальник,хутір Кам'янець-Подільський,"парк Садова 6-та, буд. 710 кв. 06, Дрогобич, 18523",+380 86 790-59-34,franchukpavlo@example.com
Микитюк,Єва,Григоріївна,Жіноча,1987-09-03,Льотчик,село Новогродівка,"парк Моторна, буд. 297, Родинське, 87951",+380 (51) 466-36-58,olehirvanets@example.net
Килимник,Венедикт,Захарович,Чоловіча,1961-01-02,Композитор,хутір Почаїв,"сквер Казковий, буд. 03 кв. 72, Звенигородка, 22678",761 96 11,iaremabohuslav@example.net
